order_item_id,order_id,product_id,quantity,unit_price
1,1,74,3,20.6
2,1,39,2,27.76
3,1,69,3,135.36
4,1,132,4,90.34
5,2,185,2,60.57
6,3,148,2,76.06
7,4,91,2,41.32
8,4,5,2,83.94
9,4,42,3,19.87
10,5,76,1,115.55
11,6,55,3,112.05
12,6,93,1,35.85
13,6,190,1,77.58
14,6,14,3,21.13
15,6,133,4,32.1
16,7,181,4,31.71
17,8,186,4,12.58
18,8,5,2,83.94
19,8,50,1,42.32
20,8,106,3,57.62
21,8,67,3,67.72
22,9,163,1,133.75
23,9,126,3,19.04
24,9,176,2,66.13
25,10,18,2,97.85
26,10,77,4,62.26
27,11,66,2,8.08
28,11,109,2,16.06
29,11,42,3,19.87
30,11,28,2,27.57
31,11,109,4,16.06
32,12,14,2,21.13
33,12,107,3,25.16
34,12,144,2,83.09
35,13,193,3,88.49
36,13,61,2,89.64
37,13,150,2,45.27
38,13,165,1,128.81
39,14,114,4,90.04
40,14,47,2,80.46
41,14,47,4,80.46
42,14,138,3,95.11
43,14,72,2,15.14
44,15,39,1,27.76
45,15,7,3,243.37
46,16,152,4,40.55
47,16,14,4,21.13
48,17,86,4,61.13
49,17,156,3,27.19
50,18,129,1,25.86
51,18,141,2,20.89
52,18,8,4,23.52
53,18,22,1,23.67
54,18,92,4,30.21
55,19,155,3,49.95
56,19,58,1,361.14
57,19,34,2,112.15
58,20,145,1,127.09
59,21,28,2,27.57
60,21,83,4,96.3
61,21,91,1,41.32
62,21,36,3,316.51
63,21,119,3,78.45
64,22,18,2,97.85
65,22,142,4,116.11
66,22,146,4,102.69
67,23,175,1,122.58
68,23,173,4,56.75
69,23,33,3,26.0
70,23,29,3,104.7
71,23,154,4,31.82
72,24,1,1,22.0
73,24,154,4,31.82
74,25,122,4,45.37
75,26,132,3,90.34
76,26,91,2,41.32
77,26,89,1,14.79
78,26,121,2,260.81
79,26,2,2,54.44
80,27,168,2,62.02
81,27,60,2,30.31
82,27,185,3,60.57
83,27,10,2,302.64
84,27,84,4,143.68
85,28,74,4,20.6
86,28,76,1,115.55
87,28,14,3,21.13
88,29,106,1,57.62
89,29,105,1,21.94
90,29,140,1,79.39
91,30,52,2,23.37
92,30,116,4,12.28
93,30,125,4,29.32
94,31,142,1,116.11
95,31,196,1,34.62
96,32,148,2,76.06
97,33,162,1,47.03
98,33,43,3,109.67
99,33,129,3,25.86
100,33,139,3,20.58
101,33,51,1,31.58
102,34,124,4,110.37
103,34,6,4,57.92
104,34,36,1,316.51
105,34,67,2,67.72
106,34,68,4,53.84
107,35,180,3,47.14
108,35,93,3,35.85
109,35,163,1,133.75
110,35,186,2,12.58
111,35,12,3,31.67
112,36,169,2,50.6
113,36,68,4,53.84
114,36,76,2,115.55
115,37,142,2,116.11
116,37,55,3,112.05
117,37,18,4,97.85
118,38,61,4,89.64
119,38,23,1,122.77
120,38,157,4,167.48
121,38,156,2,27.19
122,38,183,2,41.18
123,39,63,2,48.34
124,39,66,2,8.08
125,39,154,1,31.82
126,39,20,4,118.73
127,39,197,4,72.17
128,40,138,1,95.11
129,41,21,3,49.64
130,42,65,3,254.68
131,42,39,3,27.76
132,43,23,1,122.77
133,43,192,2,28.81
134,43,112,3,248.75
135,44,49,2,41.68
136,44,15,1,17.34
