order_id,customer_id,created_at,total_amount,payment_method
1,352,2023-06-24 19:25:03,884.76,debit_card
2,957,2024-11-15 05:40:00,121.14,debit_card
3,712,2023-05-14 07:23:39,152.12,debit_card
4,580,2023-06-22 20:44:39,310.13,bank_transfer
5,142,2023-08-08 13:48:49,115.55,paypal
6,142,2023-11-08 18:29:28,641.37,debit_card
7,56,2024-08-14 09:34:10,126.84,credit_card
8,864,2024-12-12 10:57:55,636.54,paypal
9,581,2025-02-17 16:00:32,323.13,debit_card
10,691,2024-06-14 22:42:40,444.74,debit_card
11,23,2024-04-30 06:28:24,227.27,debit_card
12,971,2025-05-27 10:55:16,283.92,credit_card
13,830,2024-05-10 01:31:44,664.1,debit_card
14,180,2024-02-19 13:21:33,1158.53,bank_transfer
15,158,2025-02-02 10:25:11,757.87,bank_transfer
16,158,2023-12-12 17:25:20,246.72,paypal
17,275,2024-12-11 18:30:40,326.09,bank_transfer
18,507,2025-06-07 11:15:42,306.23,credit_card
19,415,2024-09-10 08:00:09,735.29,bank_transfer
20,258,2024-12-02 16:31:31,127.09,debit_card
21,590,2025-06-28 11:04:22,1666.54,debit_card
22,132,2024-11-29 02:47:14,1070.9,credit_card
23,258,2023-09-23 11:03:13,868.96,paypal
24,341,2023-07-24 09:19:24,149.28,bank_transfer
25,428,2025-02-13 14:43:48,181.48,debit_card
26,769,2023-12-03 21:38:34,998.95,credit_card
27,171,2023-02-20 09:09:21,1546.37,paypal
28,500,2024-04-09 22:30:25,261.34,bank_transfer
29,576,2024-03-02 07:03:53,158.95,bank_transfer
30,44,2024-03-22 03:07:07,213.14,bank_transfer
31,588,2023-10-07 11:25:39,150.73,credit_card
32,151,2024-12-23 04:11:33,152.12,bank_transfer
33,62,2024-06-27 03:53:54,546.94,credit_card
34,957,2024-06-01 17:41:12,1340.47,debit_card
35,967,2024-12-16 13:04:52,502.89,paypal
36,797,2023-04-13 20:36:03,547.66,credit_card
37,276,2024-04-23 21:33:51,959.77,paypal
38,99,2023-12-02 18:16:43,1287.99,paypal
39,670,2025-01-21 01:08:25,908.26,credit_card
40,422,2023-01-07 09:13:37,95.11,paypal
